Date,TATA POWER,GOLD,PETROL,CURRENCY
2004-06-01,25.601905822753906,39.060001373291016,43.70000076293945,45.37099838256836
2004-06-02,23.927600860595703,38.81999969482422,43.779998779296875,45.3489990234375
2004-06-03,23.700820922851562,38.47999954223633,43.54999923706055,45.10499954223633
2004-06-04,23.126636505126953,39.40999984741211,43.369998931884766,45.05099868774414
2004-06-07,23.039783477783203,39.970001220703125,44.0,44.93299865722656
2004-06-08,22.861255645751953,39.4900016784668,43.88999938964844,44.92599868774414
2004-06-09,23.126636505126953,37.5099983215332,43.45000076293945,44.82699966430664
2004-06-10,23.068735122680664,37.939998626708984,43.97999954223633,44.98899841308594
2004-06-14,21.43303108215332,36.779998779296875,43.849998474121094,45.250999450683594
2004-06-15,22.923982620239258,37.970001220703125,44.08000183105469,45.26499938964844
2004-06-16,22.634477615356445,37.9900016784668,44.72999954223633,45.32600021362305
2004-06-17,23.160411834716797,38.54999923706055,44.77000045776367,45.428001403808594
2004-06-18,22.8853816986084,39.119998931884766,44.97999954223633,45.507999420166016
2004-06-21,22.3353214263916,39.0,44.72999954223633,45.768001556396484
2004-06-22,22.267770767211914,39.06999969482422,44.900001525878906,46.06700134277344
2004-06-23,21.162826538085938,38.84000015258789,45.459999084472656,45.542999267578125
2004-06-24,21.148351669311523,39.70000076293945,45.27000045776367,45.75
2004-06-25,22.089242935180664,39.79999923706055,44.25,45.683998107910156
2004-06-28,22.70685386657715,38.810001373291016,44.380001068115234,45.742000579833984
2004-06-29,22.460773468017578,38.08000183105469,44.56999969482422,45.90800094604492
2004-06-30,22.378747940063477,38.7599983215332,44.40999984741211,45.88800048828125
2004-07-01,23.179712295532227,38.11000061035156,44.59000015258789,45.7859992980957
2004-07-02,22.78887939453125,39.15999984741211,44.720001220703125,45.590999603271484
2004-07-06,24.279830932617188,39.38999938964844,45.099998474121094,45.88999938964844
2004-07-07,24.617586135864258,41.119998931884766,45.369998931884766,45.72800064086914
2004-07-08,24.236406326293945,42.040000915527344,45.31999969482422,45.652000427246094
2004-07-09,24.55003547668457,42.34000015258789,45.45000076293945,45.608001708984375
2004-07-12,24.51143455505371,41.4900016784668,45.439998626708984,45.58700180053711
2004-07-13,24.236406326293945,41.29999923706055,45.209999084472656,45.75299835205078
2004-07-14,24.019277572631836,41.790000915527344,45.459999084472656,45.86899948120117
2004-07-15,24.49213409423828,41.900001525878906,45.31999969482422,46.029998779296875
2004-07-16,24.820241928100586,42.2599983215332,45.83000183105469,46.0880012512207
2004-07-19,24.88296890258789,41.439998626708984,45.900001525878906,45.99100112915039
2004-07-20,24.501785278320312,41.400001525878906,45.900001525878906,45.90999984741211
2004-07-21,25.37030029296875,40.20000076293945,45.16999816894531,46.00699996948242
2004-07-22,26.007211685180664,40.47999954223633,45.38999938964844,46.106998443603516
2004-07-23,26.509021759033203,39.0,45.31999969482422,46.117000579833984
2004-07-26,25.987911224365234,38.380001068115234,45.33000183105469,46.191001892089844
2004-07-27,24.69478988647461,38.95000076293945,45.40999984741211,46.111000061035156
2004-07-28,24.506610870361328,39.400001525878906,45.810001373291016,46.266998291015625
2004-07-29,24.88296890258789,39.54999923706055,46.029998779296875,46.31100082397461
2004-07-30,25.500577926635742,40.470001220703125,46.29999923706055,46.250999450683594
2004-08-02,25.905885696411133,40.41999816894531,46.25,46.229000091552734
2004-08-03,25.85280990600586,40.369998931884766,46.88999938964844,46.21099853515625
2004-08-04,25.433027267456055,39.33000183105469,46.2400016784668,46.30500030517578
2004-08-05,25.5391788482666,38.599998474121094,45.83000183105469,46.27000045776367
2004-08-06,25.423377990722656,40.63999938964844,45.119998931884766,46.18899917602539
2004-08-09,26.123014450073242,40.709999084472656,45.560001373291016,46.29999923706055
2004-08-10,26.060287475585938,40.81999969482422,45.290000915527344,46.231998443603516
2004-08-11,25.765958786010742,40.279998779296875,45.130001068115234,46.21099853515625
2004-08-12,25.66463279724121,40.189998626708984,44.560001373291016,46.189998626708984
2004-08-13,25.814208984375,40.91999816894531,44.91999816894531,46.229000091552734
2004-08-16,25.886585235595703,41.9900016784668,45.09000015258789,46.231998443603516
2004-08-17,25.91553497314453,41.880001068115234,44.36000061035156,46.2400016784668
2004-08-18,25.02289581298828,42.27000045776367,44.810001373291016,46.25699996948242
2004-08-19,25.167646408081055,44.029998779296875,45.09000015258789,46.27000045776367
2004-08-20,24.05305290222168,44.380001068115234,45.25,46.20899963378906
2004-08-23,23.502992630004883,43.77000045776367,44.9900016784668,46.150001525878906
2004-08-24,23.999975204467773,42.849998474121094,44.849998474121094,46.20500183105469
2004-08-25,24.472835540771484,44.040000915527344,45.189998626708984,46.244998931884766
2004-08-26,24.714088439941406,43.869998931884766,45.25,46.27299880981445
2004-08-27,24.5693359375,43.959999084472656,45.439998626708984,46.229000091552734
2004-08-30,25.225547790527344,43.709999084472656,45.130001068115234,46.229000091552734
2004-08-31,25.061494827270508,44.38999938964844,46.099998474121094,46.27399826049805
2004-09-01,25.5391788482666,44.790000915527344,46.439998626708984,46.24599838256836
2004-09-02,26.09889030456543,44.4900016784668,46.97999954223633,46.249000549316406
2004-09-03,26.957754135131836,43.65999984741211,47.060001373291016,46.22999954223633
2004-09-07,27.116981506347656,43.41999816894531,47.150001525878906,46.2859992980957
2004-09-08,27.6911678314209,43.04999923706055,47.06999969482422,46.24399948120117
2004-09-09,27.392013549804688,43.099998474121094,47.47999954223633,46.22600173950195
2004-09-10,27.67186737060547,43.29999923706055,47.369998931884766,46.12699890136719
2004-09-13,28.0482234954834,43.400001525878906,47.5,46.12900161743164
