,Actual,Predicted_LR,Actual,Predicted_RF,Actual,Predicted_KNN,Actual,Predicted_ANN,Actual,Predicted_LSTM
count,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,554.0,554.0
mean,1012.8792819300442,973.9992700646378,1012.8792819300442,1011.3593177784588,1012.8792819300442,1010.5344041269723,1012.8792819300442,1006.6982421875,1015.7199629360158,996.8490600585938
std,779.7669828445147,738.8921267599504,779.7669828445147,777.1649764051325,779.7669828445147,766.0138205047452,779.7669828445147,758.197265625,780.3583324573465,33.87729263305664
min,263.63641357421875,-833.7890112553529,263.63641357421875,275.8358984375,263.63641357421875,301.5400756835937,263.63641357421875,345.1771240234375,263.63641357421875,863.950439453125
25%,427.0848007202149,575.5355176835776,427.0848007202149,424.38895721435546,427.0848007202149,430.19811248779297,427.0848007202149,438.7365493774414,427.3705291748047,979.8343963623047
50%,492.0195770263672,826.5904464174696,492.0195770263672,490.66624771118165,492.0195770263672,508.72101135253905,492.0195770263672,686.0389709472656,492.15101623535156,996.8381042480469
75%,1761.1641235351562,1654.0786069982857,1761.1641235351562,1785.827850036621,1761.1641235351562,1753.9915283203125,1761.1641235351562,1719.4275207519531,1764.2792358398438,1017.3915557861328
max,2973.89990234375,3289.183794361168,2973.89990234375,2935.4380029296876,2973.89990234375,2813.57998046875,2973.89990234375,3343.453369140625,2973.8999023437505,1095.9376220703125
